author_id|author
1|(A. Berger) B. Boivin
2|(A. Braun) A.A. Eaton
3|(A. Braun) Husn.
4|(A. Braun) Rodway
5|(A. Braun) Schinz & R. Keller
6|(A. Evans) A. Evans
7|(A. Evans) D.H. Wagner
8|(A. Evans) Frye & L. Clark
9|(A. Evans) Grolle
10|(A. Evans) Inoue
11|(A. Evans) Jørg.
12|(A. Evans) Loeske
13|(A. Evans) R.M. Schust.
14|(A. Evans) S. Hatt.
15|(A. Evans) Steph.
16|(A. Funk) Tønsberg & Vezda
17|(A. Gray) A. Gray
18|(A. Gray) Á. Löve & D. Löve
19|(A. Gray) A. Nelson
20|(A. Gray) A.R. Mast & Reveal
21|(A. Gray) Achey
22|(A. Gray) B. Boivin
23|(A. Gray) B.L. Robinson
24|(A. Gray) Breitung
25|(A. Gray) C.W. Greene
26|(A. Gray) Calder & Roy L. Taylor
27|(A. Gray) Cody
28|(A. Gray) Craven
29|(A. Gray) Cronq.
30|(A. Gray) Davis
31|(A. Gray) F. Morris & Eames
32|(A. Gray) Fernald
33|(A. Gray) G.L. Nesom
34|(A. Gray) Greene
35|(A. Gray) H. Hara
36|(A. Gray) Howell
37|(A. Gray) Hultén
38|(A. Gray) Kuntze
39|(A. Gray) Lunell
40|(A. Gray) M. Peck
41|(A. Gray) Merriam
42|(A. Gray) Nied.
43|(A. Gray) Piper
44|(A. Gray) Reveal
45|(A. Gray) Roy L. Taylor & MacBryde
46|(A. Gray) Rydb.
47|(A. Gray) S.F. Blake
48|(A. Gray) Tzvelev
49|(A. Gray) W. Wight ex J.P. Anderson
50|(A. Gray) W.A. Weber
51|(A. Gray) Wiegand
52|(A. Gray) Woot. & Standl.
53|(A. Ham.) Jordal
54|(A. Heller) Fernald
55|(A. Heller) Hultén
56|(A. Heller) I.M. Johnst.
57|(A. Heller) T.I. Chuang & Heckard
58|(Á. Löve & D. Löve) Böcher et al.
59|(Á. Löve & D. Löve) Elven
60|(Á. Löve & D. Löve) Tzvelev
61|(A. Massal. & De Not.) Jatta
62|(A. Massal.) A. Massal.
63|(A. Massal.) D. Hawksw.
64|(A. Massal.) Du Rietz
65|(A. Massal.) Froberg
66|(A. Massal.) Gyeln.
67|(A. Massal.) Hafellner & V. Wirth
68|(A. Massal.) Jatta
69|(A. Massal.) Knoph & Leuckert
70|(A. Massal.) Lettau ex Vezda
71|(A. Massal.) Nyl.
72|(A. Massal.) Otálora, P.M. Jørg. & Wedin
73|(A. Massal.) Rambold, Triebel & Coppins
74|(A. Massal.) Schuler
75|(A. Massal.) Th. Fr.
76|(A. Massal.) Zahlbr.
77|(A. Massal.) Zschacke
78|(A. Murray bis) Carrière
79|(A. Murray bis) Lemmon
80|(A. Murray bis) McNab
81|(A. Murray bis) Parl.
82|(A. Murray bis) Van Campo & Gaussen
83|(A. Nelson) A. Heller
84|(A. Nelson) Á. Löve & D. Löve
85|(A. Nelson) A. Nelson
86|(A. Nelson) Dorn
87|(A. Nelson) Kük.
88|(A. Nelson) O.E. Schulz
89|(A. Nelson) Rydb.
90|(A. Nelson) Soják
91|(A. Nelson) Soó
92|(A. Nelson) Th. Wolf
93|(A. Nelson) Thell.
94|(A. Schneider) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch
95|(A.A. Eaton) Hultén
96|(A.A. Eaton) N.E. Pfeiffer
97|(A.E. Porsild & Senn) Á. Löve
98|(A.E. Porsild & Senn) Melderis
99|(A.E. Porsild) Á. Löve
100|(A.E. Porsild) Á. Löve & D. Löve
101|(A.E. Porsild) B. Boivin
102|(A.E. Porsild) Brunton
103|(A.E. Porsild) Cody
104|(A.E. Porsild) comb. nov.
105|(A.E. Porsild) Holub
106|(A.E. Porsild) Hultén
107|(A.E. Porsild) J.K. Morton
108|(A.E. Porsild) J.P. Anderson
109|(A.E. Porsild) Jurtz.
110|(A.E. Porsild) Jurtz. & Kozh.
111|(A.E. Porsild) Ö. Nilsson
112|(A.E. Porsild) R.J. Bayer & Stebbins
113|(A.E. Porsild) S.L. Welsh
114|(A.E. Porsild) Soják
115|(A.E. Porsild) Tolm. & Kozhanch.
116|(A.E. Porsild) V.V. Petrovsky
117|(A.E. Porsild) V.V. Petrovsky, D.F. Murray & Elven
118|(A.L. Sm.) F. Mohr
119|(A.P. Khokhr.) A.P. Khokhr. & V.N. Pavlov
120|(Abbayes) Ahti
121|(Abbayes) Hale & W.L. Culb.
122|(Abbayes) Stuckenb.
123|(Abrom.) Elven & D.F. Murray
124|(Abrom.) Fernald
125|(Ach. ex Fr.) Behlen & Desberg
126|(Ach. ex Lilj.) Ach.
127|(Ach. ex Lilj.) Hook.
128|(Ach. ex Lilj.) M. Choisy
129|(Ach. ex Schaer.) D. Hawksw.
130|(Ach.) A. Gray
131|(Ach.) A. Massal.
132|(Ach.) A. Thell
133|(Ach.) A.F.W. Schmidt
134|(Ach.) A.L. Sm.
135|(Ach.) Ach.
136|(Ach.) Ahti
137|(Ach.) Ahti & D. Hawksw
138|(Ach.) Ahti & P. James
139|(Ach.) Almq.
140|(Ach.) Anzi
141|(Ach.) Arnold
142|(Ach.) Articus
143|(Ach.) Arup, Frödén & Søchting
144|(Ach.) Asahina
145|(Ach.) B. de Lesd.
146|(Ach.) Bory
147|(Ach.) Brand & Diederich
148|(Ach.) Branth & Rostr.
149|(Ach.) Breuss
150|(Ach.) Brodo & D. Hawksw.
151|(Ach.) Choisy
152|(Ach.) Clauzade & Cl. Roux
153|(Ach.) Clem. ex Hafellner
154|(Ach.) Coppins & P. James
155|(Ach.) Cromb.
156|(Ach.) DC.
157|(Ach.) De Not.
158|(Ach.) Degel.
159|(Ach.) Delise
160|(Ach.) Divakar, A. Crespo, Wedin & Essl.
161|(Ach.) Du Rietz
162|(Ach.) Eckfeldt
163|(Ach.) Elenkin
164|(Ach.) Essl.
165|(Ach.) Flot.
166|(Ach.) Fr.
167|(Ach.) Funck
168|(Ach.) Gaern., G. Mey. & Scherb.
169|(Ach.) Gowan
170|(Ach.) Goward & Ahti
171|(Ach.) Gray
172|(Ach.) Grognot
173|(Ach.) Gyeln.
174|(Ach.) Hafellner
175|(Ach.) Hafellner & Bellem.
176|(Ach.) Hafellner & Cl. Roux
177|(Ach.) Hafellner & Kalb
178|(Ach.) Hafellner & V. Wirth
179|(Ach.) Hazsl.
180|(Ach.) Hedl.
181|(Ach.) Henssen
182|(Ach.) Hepp
183|(Ach.) Hertel
184|(Ach.) Hertel & Brodo
185|(Ach.) Hertel & Knoph
186|(Ach.) Hertel & Leuckert
187|(Ach.) Hoffm.
188|(Ach.) Hook.
189|(Ach.) Horwood
190|(Ach.) Hue
191|(Ach.) J.-E. Mattsson & M.J. Lai
192|(Ach.) J. Steiner
193|(Ach.) J.E. Mattson & Middelborg
194|(Ach.) J.R. Laundon
195|(Ach.) Kärnefelt
196|(Ach.) Kärnefelt & Thell
197|(Ach.) Keiffer
198|(Ach.) Körb.
199|(Ach.) Kremp.
200|(Ach.) Krog
201|(Ach.) Laurer
202|(Ach.) Lettau
203|(Ach.) Lücking & Lumbsch
204|(Ach.) Lumbsch
205|(Ach.) Lutzoni
206|(Ach.) Lynge
207|(Ach.) M.Choisy
208|(Ach.) Malme
209|(Ach.) Moberg
210|(Ach.) Mot.
211|(Ach.) Mudd
212|(Ach.) Müll. Arg.
213|(Ach.) Nadv.
214|(Ach.) Nimis & Cl. Roux
215|(Ach.) Norman
