code_accepted|name_accepted|author_accepted_id|code_genus|taxon_source_id|link_source|level_id|habit_id|native|non_native
×duarc|×Duarctopoa|7115|×duarc|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Duarctopoa'>PAFC</a>|2|13|TRUE|FALSE
×dulab|×Duarctopoa labradorica|4749|×duarc|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Duarctopoa%20labradorica'>PAFC</a>|4|13|TRUE|FALSE
abies|Abies|6628|abies|29|<a target='_blank' href='http://floranorthamerica.org/Abies'>FNA</a>|2|2|TRUE|FALSE
abiama|Abies amabilis|1127|abies|29|<a target='_blank' href='http://floranorthamerica.org/Abies_amabilis'>FNA</a>|4|2|TRUE|FALSE
abilas|Abies lasiocarpa|2025|abies|29|<a target='_blank' href='http://floranorthamerica.org/Abies_lasiocarpa'>FNA</a>|4|2|TRUE|FALSE
abieti|Abietinella|6665|abieti|29|<a target='_blank' href='http://floranorthamerica.org/Abietinella'>Flora of North America</a>|2|17|TRUE|FALSE
abiabi|Abietinella abietina|1777|abieti|29|<a target='_blank' href='http://floranorthamerica.org/Abietinella_abietina'>Flora of North America</a>|4|17|TRUE|FALSE
abroth|Abrothallus|5855|abroth|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Abrothallus'>CNALH</a>|2|15|TRUE|FALSE
abrpar|Abrothallus parmeliarum|4631|abroth|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Abrothallus+parmeliarum'>CNALH</a>|4|15|TRUE|FALSE
abrpey|Abrothallus peyritschii|4720|abroth|21|<a target='_blank' href='https://doi.org/10.13158/heia.25.2.2010.177'>Dillman et al. 2012</a>|4|15|TRUE|FALSE
abrsec|Abrothallus secedens|7353|abroth|93|<a target='_blank' href='https://doi.org/10.1639/0007-2745-113.3.439'>Spribille et al. 2010</a>|4|15|TRUE|FALSE
abrwel|Abrothallus welwitschii|6644|abroth|93|<a target='_blank' href='https://doi.org/10.1639/0007-2745-113.3.439'>Spribille et al. 2010</a>|4|15|TRUE|FALSE
acaros|Acarospora|5516|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora'>CNALH</a>|2|15|TRUE|FALSE
acaame|Acarospora americana|6164|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+americana'>CNALH</a>|4|15|TRUE|FALSE
acabad|Acarospora badiofusca|3623|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+badiofusca'>CNALH</a>|4|15|TRUE|FALSE
acafus|Acarospora fuscata|4407|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+fuscata'>CNALH</a>|4|15|TRUE|FALSE
acagla|Acarospora glaucocarpa|198|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+glaucocarpa'>CNALH</a>|4|15|TRUE|FALSE
acarug|Acarospora rugulosa|6426|acaros|21|<a target='_blank' href='https://doi.org/10.13158/heia.25.2.2010.177'>Dillman et al. 2012</a>|4|15|TRUE|FALSE
acasch|Acarospora schleicheri|131|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+schleicheri'>CNALH</a>|4|15|TRUE|FALSE
acasin|Acarospora sinopica|5299|acaros|93|<a target='_blank' href='https://doi.org/10.1639/0007-2745-113.3.439'>Spribille et al. 2010</a>|4|15|TRUE|FALSE
acasup|Acarospora superfusa|6164|acaros|60|<a target='_blank' href='http://doi.org/10.5943/mycosphere/9/4/10'>McCune et al. 2018</a>|4|15|TRUE|FALSE
acaver|Acarospora veronensis|5516|acaros|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acarospora+veronensis'>CNALH</a>|4|15|TRUE|FALSE
acer|Acer|6459|acer|29|FNA in prep.|2|20|TRUE|FALSE
acegla|Acer glabrum|7221|acer|29|FNA in prep.|4|20|TRUE|FALSE
aceglavdou|Acer glabrum var. douglasii|1982|acer|29|FNA in prep.|7|20|TRUE|FALSE
achill|Achillea|6459|achill|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Achillea'>PAFC</a>|2|9|TRUE|TRUE
achalp|Achillea alpina|6459|achill|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Achillea%20alpina'>PAFC</a>|4|9|TRUE|FALSE
achalpsmul|Achillea alpina ssp. multiflora|1980|achill|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Achillea%20alpina'>PAFC</a>|5|9|TRUE|FALSE
achfil|Achillea filipendulina|6479|achill|3|<a target='_blank' href='https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list/'>AKEPIC 2020</a>|4|9|FALSE|TRUE
achmil|Achillea millefolium|6459|achill|29|<a target='_blank' href='http://floranorthamerica.org/Achillea_millefolium'>FNA</a>|4|9|TRUE|FALSE
achmilsbor|Achillea millefolium ssp. borealis|564|achill|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Achillea%20millefolium'>PAFC</a>|5|9|TRUE|FALSE
achpta|Achillea ptarmica|6459|achill|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Achillea%20ptarmica'>PAFC</a>|4|9|FALSE|TRUE
acoliu|Acolium|171|acoliu|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acolium'>CNALH</a>|2|15|TRUE|FALSE
acoinq|Acolium inquinans|4584|acoliu|17|<a target='_blank' href='https://lichenportal.org/cnalh/taxa/index.php?taxon=Acolium+inquinans'>CNALH</a>|4|15|TRUE|FALSE
aconit|Aconitum|6459|aconit|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Aconitum'>PAFC</a>|2|9|TRUE|FALSE
acodel|Aconitum delphiniifolium|5852|aconit|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Aconitum%20delphiniifolium'>PAFC</a>|4|9|TRUE|FALSE
acodelscha|Aconitum delphiniifolium ssp. chamissonianum|3978|aconit|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Aconitum%20delphiniifolium'>PAFC</a>|5|9|TRUE|FALSE
acodelsdel|Aconitum delphiniifolium ssp. delphiniifolium|5852|aconit|73|<a target='_blank' href='http://panarcticflora.org/results?biogeographic=&bioclimatic=&region=&name=Aconitum%20delphiniifolium'>PAFC</a>|5|9|TRUE|FALSE
acomax|Aconitum maximum|6776|aconit|29|<a target='_blank' href='http://floranorthamerica.org/Aconitum_maximum'>FNA</a>|4|9|TRUE|FALSE
