code|name|author_id|taxon_status_id|code_accepted
×duarc|×Duarctopoa|7115|1|×duarc
×dulab|×Duarctopoa labradorica|4749|1|×dulab
×dupoa|×Dupoa|6325|9|×duarc
×dulab2|×Dupoa labradorica|4747|9|×dulab
×lekor|×Leymostachys korovinii|7262|9|psajun
abdra|Abdra|6137|9|draba
abies|Abies|6628|1|abies
abiama|Abies amabilis|1127|1|abiama
abibalslas|Abies balsamea ssp. lasiocarpa|1961|9|abilas
abican|Abies canadensis|6628|9|picgla
abifal|Abies falcata|6887|9|picsit
abihet|Abies heterophylla|6887|9|tsuhet
abihoo|Abies hookeriana|5518|9|tsumer
abilas|Abies lasiocarpa|2025|1|abilas
abilasvlas|Abies lasiocarpa var. lasiocarpa|2025|9|abilas
abimar|Abies mariana|6628|9|picmar
abimen|Abies menziesii|1121|9|picsit
abipat|Abies pattoniana|5518|9|tsumer
abieti|Abietinella|6665|1|abieti
abiabi|Abietinella abietina|1777|1|abiabi
abroth|Abrothallus|5855|1|abroth
abrpar|Abrothallus parmeliarum|4631|1|abrpar
abrpey|Abrothallus peyritschii|4720|1|abrpey
abrsec|Abrothallus secedens|7353|1|abrsec
abrwel|Abrothallus welwitschii|6644|1|abrwel
acaros|Acarospora|5516|1|acaros
acaalb|Acarospora albida|6164|9|acasch
acaama|Acarospora amabilis|6164|9|acasch
acaame|Acarospora americana|6164|1|acaame
acabad|Acarospora badiofusca|3623|1|acabad
acabel|Acarospora bella|3591|9|acasch
acabou|Acarospora boulderensis|6164|9|acabad
acacar|Acarospora cartilaginea|6164|9|acafus
acachl|Acarospora chlorophana|5273|9|plechl
acachr|Acarospora chrysops|5059|9|acasch
acacin|Acarospora cinereoalba|6008|9|acaame
acacon|Acarospora contigua|6164|9|acasch
acadis|Acarospora dissipata|6164|9|acasch
acaepi|Acarospora epilutescens|7396|9|acasch
acaery|Acarospora erythrophora|6164|9|plechl
acaevo|Acarospora evoluta|6164|9|acasch
acafla|Acarospora flava|476|9|plefla
acafus|Acarospora fuscata|4407|1|acafus
acagla|Acarospora glaucocarpa|198|1|acagla
acahas|Acarospora hassei|6232|9|myrhas
acahep|Acarospora heppii|3384|9|caehep
acainc|Acarospora incertula|6164|9|plechl
acaint|Acarospora intercedens|6164|9|acasch
acanov|Acarospora novomexicana|6164|9|plechl
acaoce|Acarospora ocellata|6164|9|acasch
acarha|Acarospora rhabarbarina|6294|9|acasch
acarim|Acarospora rimulosa|6164|9|acasch
acarub|Acarospora rubicunda|6164|9|acasch
acarug|Acarospora rugulosa|6426|1|acarug
acasax|Acarospora saxicola|6007|9|glysca
