taxon_source_id|taxon_source|citation
1|Adhikari and Wallace 2014|Adhikari, B., and L.E. Wallace. 2014. Does the <i>Platanthera dilatata</i> (Orchidaceae) complex contain cryptic species or continuously variable populations? Plant Systematics and Evolution. 300:1465-1476.
2|Afonina and Breen 2009|Afonina, O.M., and A. Breen. 2009. <i>Dicranum dispersum</i> (Dicranaceae) and <i>Sciuro-hypnum ornellanum</i> (Brachytheciaceae), new to North America. The Bryologist. 112:268-272.
3|AKEPIC 2020|AKEPIC. 2020. Alaska Exotic Plant Information Clearinghouse Non-native Species List. Alaska Center for Conservation Science, University of Alaska Anchorage. Anchorage, Alaska. Available: <a target='_blank' href='https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list/'>https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list/</a>
4|Al-Shehbaz and Mulligan 2013|Al-Shehbaz, I.A., and G.A. Mulligan. 2013. New or noteworthy species of <i>Draba</i> (Brassicaceae) from Canada and Alaska. Harvard Papers in Botany. 18:101-124.
5|Almeida et al. 2016|Almeida, T.E., S. Hennequin, H. Schneider, A.R. Smith, J.A.N. Batista, A.J. Ramalho, K. Proite, and A. Salino. 2016. Towards a phylogenetic generic classification of Thelypteridaceae: Additional sampling suggests alterations of neotropical taxa and further study of paleotropical genera. Molecular Phylogenetics and Evolution. 94:688-700.
6|Arup et al. 2013|Arup, U., U. Søchting, and P. Frödén. 2013. A new taxonomy of the family Telostichistaceae. Nordic Journal of Botany. 31:16-83.
7|Baloch et al. 2013|Baloch, E., H.T. Lumbsch, R. Lücking, and M. Wedin. 2013. New combinations and names in <i>Gyalecta</i> for former <i>Belonia</i> and <i>Pachyphiale</i> (Ascomycota, Ostropales) species. The Lichenologist. 45:723-727.
8|Bateman et al. 2009|Bateman, R.M., K.E. James, Y.B. Luo, R.K. Lauri, T. Fulcher, P.J. Cribb, and M.W. Chase. 2009. Molecular phylogenetics and morphological reappraisal of the <i>Platanthera</i> clade (Orchidaceae: Orchidinae) prompts expansion of the generic limits of <i>Galearis</i> and <i>Platanthera</i>. Annals of Botany. 104:431-445.
9|Bendiksby et al. 2015|Bendiksby, M., R. Haugan, T. Spribille, and E. Timdal. 2015. Molecular phylogenetics and taxonomy of the <i>Calvitimela aglaea</i> complex (Tephromelataceae, Lecanorales). Mycologia. 107:1172-1183.
10|Blanco et al. 2004|Blanco, O., A. Crespo, P.K. Divakar, T.L. Esslinger, D.L. Hawksworth, and H.T. Lumbsch. 2004. <i>Melanelixia</i> and <i>Melanohalea</i>, two new genera segregated from <i>Melanelia</i> (Parmeliaceae) based on molecular and morphological data. Mycological Research. 108:873-884.
11|Blaxland et al. 2018|Blaxland, K., H.E. Ballard, and T. Marcussen. 2018. <i>Viola pluviae</i> sp. nov. (Violaceae), a member of subsect. <i>Stolonosae</i> in the Pacific Northwest region of North America. Nordic Journal of Botany. 36:e01931.
12|Bräuchler et al. 2008|Bräuchler, C., O. Ryding, and G. Heubl. 2008. The genus <i>Micromeria</i> (Lamiaceae), a synoptical update. Willdenowia. 38:363-410.
13|Broich 2007|Broich, S.L. 2007. New combinations in North American <i>Lathyrus</i> and <i>Vicia</i> (Fabaceae: Faboideae: Fabeae). Madroño. 54:63-71.
14|Câmara et al. 2018|Câmara, P.E.A.S., M. Carvalho-Silva, D.K. Henriques, J. Guerra, M.T. Gallego, D.R. Poveda, and M. Stech. 2018. Pylaisiaceae Schimp. (Bryophyta) revisited. Journal of Bryology. 40:251-264.
15|Chambers and Meyers 2011|Chambers, K.L., and S.C. Meyers. 2011. Nomenclatural changes for some taxa in the Oregon Flora. Journal of the Botanical Research Institute of Texas. 5:619-623.
16|CNABH|CNABH. 2020. Consortium of North American Bryophyte Herbaria. Available: <a target='_blank' href='https://bryophyteportal.org/'>https://bryophyteportal.org/</a>
17|CNALH|CNALH. 2020. Consortium of North American Lichen Herbaria. Available: <a target='_blank' href='https://lichenportal.org/'>https://lichenportal.org/</a>
18|Craven 2011|Craven, L.A. 2011. <i>Diplarche</i> and <i>Menziesia</i> transferred to <i>Rhododendron</i> (Ericaceae). Blumea. 56:33-35.
19|Dauphin et al. 2017|Dauphin, B., D.R. Farrar, A. Maccagni, and J.R. Grant. 2017. A worldwide molecular phylogeny provides new insight on cryptic diversity within the moonworts (<i>Botrychium</i> s.s., Ophioglossaceae). Systematic Botany. 42:1-20.
20|Dillenberger and Kadereit 2014|Dillenberger, M.S., and J.W. Kadereit. 2014. Maximum polyphyly: Multiple origins and delimitation with plesiomorphic characters require a new circumscription of <i>Minuartia</i> (Caryophyllaceae). Taxon. 63:64-88.
21|Dillman et al. 2012|Dillman, K.L., T. Ahti, C.R. Björk, P. Clerc, S. Ekman, T. Goward, J. Hafellner, S. Pérez-Ortega, C. Printzen, S. Savic, et al. 2012. New records, range extensions and nomenclatural innovations for lichens and lichenicolous fungi from Alaska, U.S.A. Herzogia. 25:177-210.
22|Divakar et al. 2012|Divakar, P.K., R. Del-Prado, H.T. Lumbsch, M. Wedin, T.L. Esslinger, S.D. Leavitt, and A. Crespo. 2012. Diversification of the newly recognized lichen-forming fungal lineage <i>Montanelia</i> (Parmeliaceae, Ascomycota) and its relation to key geological and climatic events. American Journal of Botany. 99:2014-2026.
23|Divakar et al. 2015|Divakar, P.K., A. Crespo, M. Wedin, S.D. Leavitt, D.L. Hawksworth, L. Myllys, B. McCune, T. Randlane, J.W. Bjerke, Y. Ohmura, et al. 2015. Evolution of the complex symbiotic relationships in a morphologically derived family of lichen-forming fungi. New Phytologist. 208:1217-1226.
24|Divakar et al. 2017|Divakar, P.K., A. Crespo, E. Kraichak, S.D. Leavitt, G. Singh, I. Schmitt, and H.T. Lumbsch. 2017. Using a temporal phylogenetic method to harmonize family- and genus-level classification in the largest clade of lichen-forming fungi. Fungal Diversity. 84:101-117.
25|Emadzade et al. 2010|Emadzade, K., C. Lehnebach, P. Lockhart, and E. Hörandl. 2010. A molecular phylogeny, morphology, and classification of genera of Ranunculeae (Ranunculaceae). Taxon. 59:809-828.
26|Farrar and Gilman 2017|Farrar, D.R., and A.V. Gilman. 2017. Relationships in the <i>Botrychium campestre</i> (Ophioglossaceae) complex. Brittonia. 69:265-275.
27|Fedosov et al. 2016|Fedosov, V.E., A.V. Fedorova, A.E. Fedosov, and M.S. Ignatov. 2016. Phylogenetic inference and peristome evolution in haplolepideous mosses, focusing on Pseudoditrichaceae and Ditrichaceae <i>s.l.</i> Botanical Journal of the Linnean Society. 181:139-155.
28|Flatberg 2007|Flatberg, K.I. 2007. <i>Sphagnum tescorum</i> (Bryophyta), a new species in the sect. <i>Acutifolia</i> from the Beringian region. Lindbergia. 32:99-110.
29|Flora of North America|FNA Editorial Committee, eds. 1993+. Flora of North America North of Mexico. 16+ volumes. New York and Oxford. Available: <a target='_blank' href='https://floranorthamerica.org'>https://floranorthamerica.org</a>
30|Fryday et al. 2014|Fryday, A.M., C. Printzen, and S. Ekman. 2014. <i>Bryobilimbia</i>, a new generic name for <i>Lecidea hypnorum</i> and closely related species. The Lichenologist. 46:25-37.
31|Fuentes-Bazan et al. 2012a|Fuentes-Bazan, S., G. Mansion, and T. Borsch. 2012. Towards a species level tree of the globally diverse genus <i>Chenopodium</i> (Chenopodiaceae). Molecular Phylogenetics and Evolution. 62:359-374.
32|Fuentes-Bazan et al. 2012b|Fuentes-Bazan, S., P. Uotila, and T. Borsch. 2012b. A novel phylogeny-based generic classification for <i>Chenopodium</i> sensu lato, and a tribal rearrangement of Chenopodioideae (Chenopodiaceae). Willdenowia. 42:5-24.
33|Fulkerson et al. 2020|Fulkerson, J.R., M.L. Carlson, T.W. Nawrocki. 2020. Alaska Rare Plants Database. Alaska Center for Conservation Science, University of Alaska Anchorage. Anchorage, Alaska. Available: <a target='_blank' href='https://aknhp.uaa.alaska.edu/apps/rareplants/'>https://aknhp.uaa.alaska.edu/apps/rareplants/</a>
34|Gasper et al. 2016|Gasper, A.L., V.A.O. Dittrich, A.R. Smith, and A. Salino. 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa. 275:191-227.
35|German 2005|German, D.A. 2005. Contribution to the taxonomy of <i>Arabidopsis</i> s.l. (Cruciferae): The status of <i>Transberingia</i> and two new combinations in <i>Crucihimalaya</i>. Turczaninowia. 8:5-15.
36|German 2014|German, D.A. 2014. New synonyms and combinations in Eurasian Brassicaceae (Cruciferae). Phytotaxa. 173:31-40.
37|Gilman and Testo 2015|Gilman, A.V., and W.L. Testo. 2015. Use of gemma characters to identify North American <i>Huperzia</i> (Lycopodiaceae). American Fern Journal. 105:145-161.
38|Greuter and von Raab-Straube 2011|Greuter, W., and E. von Raab-Straube. 2011. Euro+Med Notulae, 5. Willdenowia. 41:129-138.
39|Haines 2003|Haines, A. 2003. The Families Huperziaceae and Lycopodiaceae of New England. A Taxonomic and Ecological Reference. V.F. Thomas Co. Southwest Harbor, Maine.
40|Hasenstab-Lehman and Simpson 2012|Hasenstab-Lehman, K.E., and M.G. Simpson. 2012. Cat's Eyes and Popcorn Flowers: Phylogenetic Systematics of the Genus <i>Cryptantha</i> s.l. (Boranginaceae). Systematic Botany. 37:738-757.
41|Hauk et al. 2003|Hauk, W.D., C.R. Parks, and M.W. Chase. 2003. Phylogenetic studies of Ophioglossaceae: evidence from <i>rbcL</i> and <i>trnL-F</i> plastid DNA sequences and morphology. Molecular Phylogenetics and Evolution. 28:131-151.
42|Holien et al. 2016|Holien, H., Z. Palice, C.R. Björk, T. Goward, and T. Spribille. 2016. <i>Lecidea coriacea</i> sp. nov., a lichen species from oldgrowth boreal and montane forests in Europe and North America. Herzogia. 29:412-420.
43|Ickert-Bond et al. 2019|Ickert-Bond, S.M., D.F. Murray, M.G. Oliver, H.K. Berrios, and C.O. Webb. 2019. The <i>Claytonia arctica</i> complex in Alaska— Analyzing a Beringian taxonomic puzzle using taxonomic concepts. Annals of the Missouri Botanical Garden. 104:478-494.
44|Ignatov et al. 2019|Ignatov, M.S., E.A. Ignatova, O.I. Kuznetsova, and V.E. Fedosov. 2019. On moss genera <i>Hylocomiadelphus</i> Ochyra & Stebel and <i>Rhytidiadelphus</i> (Limpr.) Warnst. Acta Musei Silesiae, Scientiae Naturales. 68:123-134.
45|in Arcadia 2013|in Arcadia, L. 2013. <i>Usnea dasopoga</i>, a name to be reinstated for <i>U. filipendula</i>, and its orthography. Taxon. 62:604-605.
46|J.T. Kartesz|Kartesz, J.T. Botanist, Biota of North America Program, North Carolina Botanical Garden, University of North Carolina. Chapel Hill, North Carolina. Personal communication.
47|Kartesz and Gandhi 1993|Kartesz, J.T., and K.N. Gandhi. 1993. <i>Osmorhiza berteroi</i> (Apiaceae): the correct name for mountain sweet-cicely. Brittonia. 45:181-182.
48|Kondratyuk et al. 2014|Kondratyuk, S.Y., J. Kim, A.S. Kondratiuk, M. Jeong, S. Jang, M.V. Pirogov, and J. Hur. 2014. First data on molecular phylogeny of the genus <i>Protoparmeliopsis</i> M. Choisy (Lecanoraceae, Ascomycota). Modern Phytomorphology. 5:63-68.
49|Konstantinova et al. 2009|Konstantinova, N.A., V.A. Bakalin, E.N. Andrejeva, A.G. Bezgodov, and E.A. Borovichev. 2009. Checklist of liverworts (Marchantiophyta) of Russia. Arctoa. 18:1-64.
50|Kurtto and Uotila 2019|Kurtto, A., and P. Uotila. 2019. New combinations in the vascular flora of Finland, in the genera <i>Spinulum</i>, <i>Oxybasis</i> and <i>Potentilla</i>. Memoranda Societatis pro Fauna et Flora Fennica. 95:36-39.
51|Lara et al. 2016|Lara, F., R. Garilleti, B. Goffinet, I. Draper, R. Medina, B. Vigalondo, and V. Mazimpaka. 2016. <i>Lewinskya</i>, a new genus to accommodate the phaneroporous and monoicous taxa of <i>Orthotrichum</i> (Bryophyta, Orthotrichaceae). Cryptogramie, Bryologie. 37:361-382.
52|Lara et al. 2020|Lara, F., I. Draper, M. Flagmeier, J.A. Calleja, V. Mazimpaka, and R. Garilleti. 2020. Let's make <i>Pulvigera</i> great again: re-circumscription of a misunderstood group of Orthotrichaceae that diversified in North America. Botanical Journal of the Linnean Society.
53|Larraín et al. 2013|Larraín, J., D. Quandt, M. Stech, and J. Muñoz. 2013. Lumping or splitting? The case of <i>Racomitrium</i> (Bryophitina: Grimmiaceae). Taxon. 62:1117-1132.
