Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Pinaceae	Abies amabilis Douglas ex J.Forbes	Abies amabilis Douglas ex J.Forbes	T	AK taxon list	
Pinaceae	Abies lasiocarpa (Hook.) Nutt.	Abies lasiocarpa (Hook.) Nutt.	T	AK taxon list	
Aceraceae	Acer glabrum Torr.	Acer glabrum Torr.	F	AK taxon list	
Aceraceae	Acer glabrum Torr. subsp. douglasii (Hook.) Wesm.	Acer glabrum Torr. subsp. douglasii (Hook.) Wesm.	T	AK taxon list	
Polygonaceae	Aconogonon alaskanum (W.Wight ex Hult始) Sojak	Aconogonon alaskanum (W.Wight ex Hult始) Sojak	T	Hinds 1995	
Polygonaceae	Aconogonon alaskanum (W.Wight ex Hult始) Sojak var. glabrescens (Hult始) H.R.Hinds	Aconogonon alaskanum (W.Wight ex Hult始) Sojak	T		FNA 5; Flora of North America, vol. 5/
Asteraceae	Achillea alpina L. subsp. multiflora 	Achillea alpina L. subsp. multiflora 	T		Elven, R.  et al. 2003; /
Asteraceae	Achillea borealis Bong.	Achillea millefolium L. subsp. borealis (Bong.) Breitung	T		Elven, R.  et al. 2003; /
Asteraceae	Achillea lanulosa Nutt.	Achillea lanulosa Nutt.	F	AK taxon list	
Asteraceae	Achillea millefolium L.	Achillea millefolium L.	F	AK taxon list	
Asteraceae	Achillea millefolium L. subsp. borealis (Bong.) Breitung	Achillea millefolium L. subsp. borealis (Bong.) Breitung	T		Elven, R.  et al. 2003; /
Asteraceae	Achillea nigrescens (C.A.Mey.) Rydb.	Achillea millefolium L. subsp. borealis (Bong.) Breitung	T		Elven, R.  et al. 2003; /
Asteraceae	Achillea ptarmica L.	Achillea ptarmica L.	T	AK taxon list	
Asteraceae	Achillea sibirica Ledeb.	Achillea sibirica Ledeb.	T	AK taxon list	
Rosaceae	Acomastylis rossii (R.Br.) Greene	Geum rossii (R.Br.) Ser.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Aconitum delphinifolium DC.	Aconitum delphinifolium DC.	F	AK taxon list	
Ranunculaceae	Aconitum delphinifolium DC. subsp. chamissonianum (Rchb.) Hult始 & H.St.John	Aconitum delphinifolium DC. subsp. chamissonianum (Rchb.) Hult始 & H.St.John	T	AK taxon list	
Ranunculaceae	Aconitum delphinifolium DC. subsp. delphinifolium 	Aconitum delphinifolium DC. subsp. delphinifolium 	T	AK taxon list	
Ranunculaceae	Aconitum delphinifolium DC. subsp. paradoxum (Rchb.) Hult始	Aconitum delphinifolium DC. subsp. delphinifolium 	T		Elven, R.  et al. 2003; /
Ranunculaceae	Aconitum maximum Pall.	Aconitum maximum Pall.	T	AK taxon list	
Ranunculaceae	Aconitum nivatum A.Nelson	Aconitum nivatum A.Nelson	F		
Araceae	Acorus americanus (Raf.) Raf.	Acorus americanus (Raf.) Raf.	T		FNA vol. 22; /
Araceae	Acorus calamus auct.	Acorus americanus (Raf.) Raf.	T		FNA vol. 22; /
Ranunculaceae	Actaea rubra (Aiton) Willd.	Actaea rubra (Aiton) Willd.	T	AK taxon list	
Ranunculaceae	Actaea rubra (Aiton) Willd. subsp. arguta (Nutt.) Hult始	Actaea rubra (Aiton) Willd.	T		FNA 3; Flora of North America volume 3/
Ranunculaceae	Actaea rubra (Aiton) Willd. subsp. rubra 	Actaea rubra (Aiton) Willd. subsp. rubra 	F	AK taxon list	
Ranunculaceae	Actaea spicata L. var. rubra Aiton	Actaea rubra (Aiton) Willd.	T		FNA 3; Flora of North America volume 3/
Pteridaceae	Adiantum aleuticum (Rupr.) 	Adiantum aleuticum (Rupr.) 	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Adiantum boreale C.Presl	Adiantum aleuticum (Rupr.) 	F		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Adiantum pedatum L.	Adiantum pedatum L.	F	AK taxon list	
Pteridaceae	Adiantum pedatum L. var. aleuticum Rupr.	Adiantum aleuticum (Rupr.) 	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Adiantum pedatum L. subsp. aleuticum (Rupr.) Calder & R.L.Taylor	Adiantum aleuticum (Rupr.) 	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Adiantum pedatum L. subsp. calderi Cody	Adiantum aleuticum (Rupr.) 	F		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Adiantum pedatum L. subsp. subpumilum (W.H.Wagner) Lellinger	Adiantum aleuticum (Rupr.) 	F		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
